881341,Амур,0,0,0,0,0,4,2,30,21,4,8,19,30,70.12,68.43,18:58,13:36,Салават Юлаев,2
881340,Адмирал,0,0,1,0,0,3,4,32,30,8,6,32,29,68.11,65.92,17:27,15:4,Металлург Мг,2
881348,Динамо Мн,3,0,1,0,0,3,5,24,27,10,6,17,27,63.88,66.69,15:27,18:37,Северсталь,2
881347,Куньлунь РС,2,0,1,0,0,2,4,32,26,8,4,23,45,66.93,70.76,11:38,20:36,ЦСКА,1
881346,Барыс,2,1,0,0,0,4,4,23,24,10,29,24,36,66.33,66.81,13:36,20:37,Автомобилист,0
881345,Сибирь,3,0,1,0,0,3,2,31,22,6,8,16,20,68.06,69.03,17:24,15:30,Нефтехимик,2
881354,ХК Сочи,1,0,2,0,0,5,4,25,29,8,10,30,24,70.79,62.01,21:8,12:34,Авангард,4
881353,Витязь,1,0,0,0,0,3,2,23,28,4,6,30,33,70.87,66.90,15:54,15:32,Локомотив,2
881352,Торпедо,4,0,1,0,0,4,7,28,34,14,8,38,35,70.53,65.32,16:30,18:2,Трактор,3
881351,Ак Барс,0,0,0,0,0,3,3,37,17,6,6,34,30,70.24,68.40,21:0,13:2,Спартак,2
881350,Амур,2,0,0,0,0,2,3,31,30,8,6,29,40,71.74,71.58,18:54,17:21,Салават Юлаев,2
881349,Адмирал,1,1,0,0,0,4,3,29,39,8,10,24,24,67.24,66.84,16:24,17:23,Металлург Мг,3
881358,Динамо Мн,3,1,0,0,0,6,3,22,40,11,17,34,32,64.72,65.40,16:47,15:3,ЦСКА,1
881357,Северсталь,1,0,0,0,0,8,3,31,27,8,18,26,27,65.10,58.55,24:9,9:23,Динамо М,3
881356,Куньлунь РС,3,1,3,0,0,4,5,32,27,14,33,30,42,64.73,67.55,14:22,20:8,СКА,6
881355,Сибирь,3,2,1,0,0,4,5,25,42,10,8,34,28,66.74,65.88,15:17,17:53,Автомобилист,5
881361,ХК Сочи,0,0,0,0,0,6,3,21,36,6,12,25,29,66.73,62.22,17:21,16:40,Спартак,1
881360,Торпедо,4,2,1,0,0,3,5,31,31,10,25,30,33,71.53,67.84,17:47,14:50,Авангард,2
881359,Нефтехимик,3,0,1,0,0,2,3,27,32,6,4,46,24,69.38,65.55,17:56,16:16,Трактор,5
881366,СКА,1,0,1,0,0,2,3,38,24,6,4,31,31,68.38,67.99,18:47,15:14,Динамо М,1
881365,Северсталь,5,2,1,0,0,5,2,31,24,4,10,31,12,67.00,67.78,18:36,15:12,Барыс,2
881364,Локомотив,2,0,0,0,0,3,2,27,25,4,6,24,27,68.01,69.18,16:57,17:13,Адмирал,1
881363,Салават Юлаев,2,1,1,0,0,5,4,33,22,12,12,27,31,69.77,69.61,19:30,18:54,Динамо Мн,2
881362,Металлург Мг,4,2,0,0,0,4,3,32,27,6,8,40,20,71.09,68.28,22:23,14:2,Куньлунь РС,0
881370,ХК Сочи,1,1,1,0,0,3,3,26,33,6,6,26,35,69.44,70.07,14:10,19:17,Амур,2
881369,Витязь,4,1,2,0,0,3,3,35,33,8,8,29,27,72.63,68.05,19:55,15:2,Сибирь,5
881368,Нефтехимик,2,0,2,0,0,4,6,29,27,12,8,41,29,68.30,65.55,20:12,14:42,Авангард,3
881367,Ак Барс,3,2,1,0,0,5,2,28,28,4,10,29,26,67.75,67.28,16:16,14:51,Трактор,2
881376,ЦСКА,3,0,0,0,1,4,2,36,31,16,17,39,32,68.36,67.35,17:59,15:16,Спартак,2
881375,СКА,3,1,0,0,0,4,3,36,19,6,10,26,18,69.50,72.67,16:11,15:22,Торпедо,0
881374,Северсталь,1,1,0,0,0,7,1,27,26,8,22,31,23,70.68,66.57,26:44,15:16,Адмирал,1
881373,Локомотив,0,0,0,0,0,3,1,28,16,2,6,32,17,72.35,71.23,23:26,15:13,Барыс,0
881372,Металлург Мг,4,1,0,0,0,4,2,29,25,6,10,36,29,70.20,71.26,15:53,18:6,Динамо Мн,1
881371,Автомобилист,6,5,1,0,0,10,2,35,24,4,20,43,19,68.36,64.85,23:16,12:5,Куньлунь РС,1
